name,layer,gateway_type,lat,lon
"Accra, GH | Mega",Africa,gateway,5.80399,-0.090984
"Aerzen, DE",Europe,gateway,52.060989,9.328231
"Aflenz, OS | Mega",Europe,gateway,47.553232,15.292154
"Akita, JP",APAC,gateway,39.63828,140.06466
"Akron, OH - The All Gas No Brakes GW",North America,gateway,41.057528,-81.519917
"Anakie, VIC, AU",APAC,gateway,-37.953169,144.328172
"Anchorage, AK - Great Alaskan GW",North America,gateway,61.18575,-149.876389
"Anderson, SC | Mega",North America,gateway,34.4446944,-82.6708333
"Angeles, PH",APAC,gateway,15.17087,120.505747
"Angola, IN | Mega",North America,gateway,41.6355278,-84.974
"Apple Hill, ON, CA - Apple Hill GW",North America,gateway,45.223467,-74.763919
"Aquierpa, PE | Mega",South America,gateway,-16.470219,-71.513401
"Aracaju, BR",South America,gateway,-11.081214,-37.146714
"Arbuckle, CA",North America,gateway,39.057,-122.06
"Archerfield, QLD, AU | Mega",APAC,gateway,-27.574457,153.002527
"Arlington, OR | Mega",North America,gateway,45.62552778,-120.1747778
"Arvin, CA | Mega",North America,gateway,35.1620556,-118.8783611
Ashburn VA - The Pew Pew GW,North America,gateway,39.015667,-77.464917
"Ashburn, VA - The Ash Ketchum GW",North America,gateway,39.015278,-77.459722
"Ashburn, VA - The Greedy Tortoise GW",North America,gateway,39.021722,-77.452806
"Ashland, IL - The Sea Monkey GW",North America,gateway,41.841361,-87.671111
"Atlanta, GA - Ponce City Market GW",North America,gateway,33.772222,-84.365278
"Atlanta, GA - The Edged ATL1 GW",North America,gateway,33.815056,-84.460083
"Atlanta, GA - The Georgia Powerhouse GW",North America,gateway,33.777556,-84.416056
"Atlanta, GA - The Hotlanta GW",North America,gateway,33.733472,-84.424639
"Atlanta, GA - The Limit of Physics GW",North America,gateway,33.8955,-84.45355
"Augusta, WA, AU",APAC,gateway,-34.3172547,115.150002
"Awarua, NZ",APAC,gateway,-46.530531,168.383076
"Bald Hills, QLD, AU | Mega",APAC,gateway,-27.3133,153.0136
"Barreira, BR | Mega",South America,gateway,-4.2869889,-38.6492444
"Barrow, AK, US",Community Gateways,community_gateway,71.27475,-156.803972
"Bathurst, NSW, AU | Mega",APAC,gateway,-33.436665,149.52242
"Baxley, GA / Surrency, GA | Mega",North America,gateway,31.6821667,-82.2689722
"Beekmantown, NY - Little GW That Could | Mega",North America,gateway,44.79025,-73.479444
"Bellingham, WA - The Bellingham GW",North America,gateway,48.774028,-122.449111
"Benevides, BR | Mega",South America,gateway,-1.359325,-48.2582528
"Benkelman, NE | Mega",North America,gateway,40.1049444,-101.51025
"Betbunia(?), BD",APAC,gateway,22.5476,91.9959
"Blountsville, AL | Mega",North America,gateway,34.0984444,-86.5785278
"Blue City, OM | Mega expansion",Middle East,gateway,23.744518,57.80947
"Bluffdale, UT - The Bonanza Express GW",North America,gateway,40.47975,-111.904167
"Boca Chica, TX - Stargate GW",North America,gateway,25.9837441,-97.1907243
"Bogantungan, QLD, AU",APAC,gateway,-23.64682,147.29126
"Bogota, CO",South America,gateway,4.742491,-74.144777
"Boise, ID - The Boise GW",North America,gateway,43.581083,-116.289972
"Boorowa, NSW, AU (GSN#55)",APAC,gateway,-34.46214,148.70558
"Boucherville, QC, CA - Boucherville GW",North America,gateway,45.566594,-73.425442
"Boydton, VA",North America,gateway,36.69419444,-78.37572222
