OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-10-27T17:53:52.042272,15.06408052,.0001248,53.0543,63.4236,85.8238,274.2894,0,U,44714,999,32871,.18899102E-3,.2535E-4,0
STARLINK-1010,2019-074D,2025-10-27T20:00:01.000224,15.96432104,.0005203,53.0435,350.8298,49.7068,115.0440,0,U,44716,999,600,.71362209E-3,.304297E-2,.48144141E-4
STARLINK-1011,2019-074E,2025-10-27T20:00:01.000224,15.83684010,.00036587,53.0474,47.6010,293.6067,42.9014,0,U,44717,999,586,.11698103E-2,.271028E-2,0
STARLINK-1012,2019-074F,2025-10-27T17:22:00.771456,15.06411146,.0001154,53.0548,63.5251,88.4935,271.6186,0,U,44718,999,32870,.11948769E-3,.1499E-4,0
STARLINK-1017,2019-074L,2025-10-27T17:15:24.052896,15.14576946,.00018491,53.0506,60.3628,193.1272,166.9673,0,U,44723,999,32875,.25356726E-2,.47346E-3,0
STARLINK-1019,2019-074M,2025-10-27T20:00:01.000224,15.10521741,.00013856,53.0537,63.0094,90.3585,179.4531,0,U,44724,999,572,.43025245E-1,.766114E-2,0
STARLINK-1020,2019-074N,2025-10-27T03:04:48.161280,15.06402076,.00014658,53.0536,86.1990,86.5639,273.5517,0,U,44725,999,32833,.85358477E-4,.99E-5,0
STARLINK-1031,2019-074Z,2025-10-27T20:00:01.000224,15.46724127,.00051318,53.0504,53.4072,220.8756,25.8778,0,U,44736,999,587,.25040575E-2,.129015E-2,0
STARLINK-1036,2019-074AE,2025-10-27T19:42:40.999968,15.06404192,.00014141,53.0540,83.0864,85.4664,274.6486,0,U,44741,999,32844,.13281879E-3,.1698E-4,0
STARLINK-1039,2019-074AH,2025-10-27T20:05:12.782400,15.12420311,.0006524,53.0496,101.1419,136.8691,223.2813,0,U,44744,999,32819,.23034096E-2,.40423E-3,0
STARLINK-1042,2019-074AL,2025-10-27T21:34:47.659872,15.42913190,.00032846,53.0481,8.5504,88.3627,271.7754,0,U,44747,999,32952,.48488429E-3,.21288E-3,0
STARLINK-1043,2019-074AM,2025-10-27T20:38:24.769824,15.06402736,.00012618,53.0542,102.9118,97.1738,262.9395,0,U,44748,999,32817,.46742559E-4,.415E-5,0
STARLINK-1046,2019-074AQ,2025-10-27T20:59:38.594400,15.06405206,.00013355,53.0538,102.8474,87.2752,272.8390,0,U,44751,999,32817,.63590128E-4,.666E-5,0
STARLINK-1047,2019-074AR,2025-10-27T16:58:21.637632,15.29122778,.00038495,53.0719,45.6351,149.3536,210.7688,0,U,44752,999,32897,.48340353E-3,.13521E-3,0
STARLINK-1048,2019-074AS,2025-10-27T18:25:42.373056,15.06416124,.0001237,53.0552,63.3261,90.1724,269.9407,0,U,44753,999,32871,.17766959E-3,.2367E-4,0
STARLINK-1053,2019-074AX,2025-10-27T15:12:45.849600,15.59876626,.00025427,53.0420,23.7243,18.3819,341.7285,0,U,44758,999,32927,.67244694E-3,.54961E-3,0
STARLINK-1054,2019-074AY,2025-10-27T20:00:01.000224,15.88826749,.00051657,53.0368,47.4555,315.2164,77.3196,0,U,44759,999,601,.14901519E-2,.45317E-2,0
STARLINK-1056,2019-074BA,2025-10-27T19:33:17.417952,16.02664448,.00038118,53.0376,33.6109,9.8279,350.2825,0,U,44761,999,32914,.85135996E-3,.519358E-2,.13353831E-3
STARLINK-1060,2019-074BE,2025-10-27T20:00:01.000224,15.61567170,.00025374,53.0532,68.9776,348.3059,232.7943,0,U,44765,999,553,.14333802E-2,.126787E-2,0
STARLINK-1063,2019-074BH,2025-10-27T22:19:15.614976,15.06410850,.00012931,53.0540,102.5996,91.5391,268.5747,0,U,44768,999,32819,.85065415E-4,.986E-5,0
STARLINK-1067,2019-074BL,2025-10-27T20:27:47.711520,15.06406442,.00014923,53.0551,102.9466,89.7549,270.3611,0,U,44771,999,32817,.16085055E-4,-.42E-6,0
STARLINK-1068,2019-074BM,2025-10-27T18:39:00.481824,15.06397357,.00012371,53.0532,83.2844,85.4124,274.7006,0,U,44772,999,32843,.85209132E-4,.988E-5,0
STARLINK-1112,2020-001M,2025-10-27T22:11:59.718336,15.54476822,.0004837,53.0491,181.6154,135.4466,224.6934,0,U,44925,999,32041,.16841893E-2,.113962E-2,0
